subject_id,cognitive_pre,cognitive_post,cognitive_change,somatic_pre,somatic_post,somatic_change,confidence_pre,confidence_post,confidence_change
6,1.571,1.286,-0.2849999999999999,2.0,2.428,0.42799999999999994,2.111,2.444,0.33299999999999974
7,2.0,1.714,-0.28600000000000003,1.714,1.571,-0.14300000000000002,2.222,2.0,-0.22199999999999998
8,1.857,2.0,0.14300000000000002,1.428,1.571,0.14300000000000002,3.222,2.778,-0.44399999999999995
9,3.714,3.286,-0.42799999999999994,2.428,3.0,0.5720000000000001,1.778,1.333,-0.44500000000000006
10,2.143,2.714,0.5710000000000002,1.714,2.428,0.714,2.222,1.778,-0.44399999999999995
11,1.143,1.143,0.0,1.0,1.0,0.0,2.889,3.1111,0.2221000000000002
12,1.143,1.714,0.571,1.0,1.857,0.857,3.0,2.667,-0.3330000000000002
13,1.571,1.0,-0.571,2.286,1.0,-1.286,2.667,4.0,1.3330000000000002
14,2.0,2.143,0.1429999999999998,1.857,2.143,0.2859999999999998,1.778,1.444,-0.3340000000000001
15,2.143,3.428,1.2850000000000001,2.143,3.428,1.2850000000000001,2.778,1.889,-0.889
16,1.571,1.286,-0.2849999999999999,1.714,2.0,0.28600000000000003,1.667,2.111,0.4440000000000002
29,1.857,1.428,-0.42900000000000005,1.286,1.286,0.0,2.444,2.111,-0.33299999999999974
30,2.857,3.0,0.1429999999999998,3.571,3.714,0.1429999999999998,2.111,1.667,-0.4440000000000002
31,1.857,2.714,0.857,1.571,1.571,0.0,3.111,2.889,-0.22200000000000042
32,2.286,2.428,0.1419999999999999,2.428,1.857,-0.571,2.333,2.0,-0.3330000000000002
33,1.714,1.714,0.0,1.428,1.143,-0.2849999999999999,2.222,2.111,-0.11099999999999977
34,2.143,2.0,-0.1429999999999998,1.571,2.0,0.42900000000000005,2.333,2.667,0.33399999999999963
35,2.714,1.0,-1.714,2.571,2.0,-0.5710000000000002,2.111,2.555,0.44399999999999995
36,2.857,3.143,0.2859999999999996,2.714,3.428,0.714,1.222,1.0,-0.22199999999999998
37,1.857,2.143,0.2859999999999998,1.0,1.143,0.14300000000000002,2.778,2.555,-0.22299999999999986
40,1.286,1.428,0.1419999999999999,1.286,1.143,-0.14300000000000002,3.111,3.444,0.33299999999999974
41,2.286,1.286,-1.0,2.286,2.0,-0.28600000000000003,1.444,2.333,0.8890000000000002
42,1.714,1.428,-0.28600000000000003,2.714,2.428,-0.28600000000000003,2.889,2.555,-0.33399999999999963
